         n   time, ms     sample       mean        RMS    H1, abs              H1, deg              H2, abs    H3, abs    H5, abs
         1  -500.0000    70.6112     2.9421    14.4135     4.1608              90.0000               4.1608     4.1608     4.1608
         2  -499.1667    55.0832     5.2373    18.2803     7.3442              83.4318               7.1582     6.8518     5.9024
         3  -498.3333    33.9833     6.6532    19.5522     9.2160              78.4750               8.6509     7.7556     5.2708
         4  -497.5000    10.7338     7.1005    19.6746     9.7499              76.4244               8.9155     7.6562     4.6432
         5  -496.6667    -8.5771     6.7431    19.7524     9.4086              78.6548               8.9598     8.0590     4.8600
         6  -495.8333   -25.6890     5.6727    20.4366     8.8415              87.4803               9.9378     9.5573     3.8950
         7  -495.0000   -46.1596     3.7494    22.5041     9.1354             104.7849              12.5713    11.4182     1.5002
         8  -494.1667   -67.4434     0.9393    26.3810    11.6327             122.0327              16.4105    12.3090     4.9433
         9  -493.3333   -79.3510    -2.3670    30.9567    15.9142             129.9526              20.0823    11.3458     8.3249
        10  -492.5000   -81.6844    -5.7705    35.1615    20.7132             131.1241              22.6160     8.6021     8.3894
        11  -491.6667   -81.3309    -9.1593    38.8837    25.4324             129.0405              23.6913     4.5652     5.0506
        12  -490.8333   -78.9550   -12.4491    42.0914    29.7418             125.3868              23.2311     0.1412     1.0813
        13  -490.0000   -70.6819   -15.3942    44.4955    33.2250             121.2239              21.4549     4.1522     5.1259
        14  -489.1667   -55.1186   -17.6908    45.8959    35.5494             117.4414              19.0689     6.7974     6.9884
        15  -488.3333   -33.9762   -19.1065    46.4170    36.6657             114.8036              17.1526     7.6712     6.2960
        16  -487.5000   -10.7479   -19.5543    46.4688    36.8892             113.8804              16.5342     7.5630     5.6637
        17  -486.6667     8.4923   -19.2005    46.5011    36.8392             114.6543              16.9054     7.9657     5.8415
        18  -485.8333    25.5971   -18.1339    46.7938    37.1219             116.9499              17.4418     9.4560     4.7473
        19  -485.0000    46.1243   -16.2121    47.7315    38.4301             120.5644              17.3297    11.2977     2.5775
        20  -484.1667    67.4999   -13.3996    49.6804    41.3640             124.4245              15.8645    12.1696     5.9144
        21  -483.3333    79.3934   -10.0915    52.2569    45.6287             126.9614              12.9799    11.2033     9.4213
        22  -482.5000    81.5713    -6.6927    54.8455    50.3926             127.7256               9.1196     8.4827     9.3330
        23  -481.6667    81.1470    -3.3116    57.2922    55.1345             127.0576               4.6595     4.4928     5.6372
        24  -480.8333    78.8701    -0.0253    59.5112    59.4675             125.3758               0.0121     0.2664     2.1917
        25  -480.0000    70.7243    -0.0206    59.5168    59.4729             125.3721               0.0072     0.2655     2.1975
        26  -479.1667    55.2954    -0.0118    59.5250    59.4809             125.3628               0.0143     0.2558     2.2064
        27  -478.3333    34.1813    -0.0035    59.5297    59.4857             125.3526               0.0260     0.2442     2.2006
        28  -477.5000    10.9035     0.0035    59.5310    59.4874             125.3431               0.0350     0.2379     2.1909
        29  -476.6667    -8.4428     0.0091    59.5302    59.4867             125.3355               0.0404     0.2390     2.1909
        30  -475.8333   -25.5688     0.0141    59.5280    59.4842             125.3291               0.0430     0.2448     2.1977
        31  -475.0000   -46.0111     0.0203    59.5232    59.4792             125.3223               0.0433     0.2534     2.2021
        32  -474.1667   -67.3161     0.0256    59.5172    59.4734             125.3176               0.0411     0.2578     2.1969
        33  -473.3333   -79.3227     0.0268    59.5157    59.4719             125.3170               0.0400     0.2576     2.1954
        34  -472.5000   -81.6137     0.0298    59.5116    59.4678             125.3163               0.0361     0.2543     2.1965
        35  -471.6667   -81.2884     0.0315    59.5092    59.4653             125.3165               0.0336     0.2518     2.1990
        36  -470.8333   -78.9974     0.0298    59.5115    59.4676             125.3157               0.0356     0.2533     2.1983
        37  -470.0000   -70.8092     0.0245    59.5179    59.4737             125.3115               0.0392     0.2525     2.2048
        38  -469.1667   -55.2954     0.0171    59.5247    59.4804             125.3038               0.0411     0.2446     2.2122
        39  -468.3333   -34.2591     0.0053    59.5314    59.4873             125.2892               0.0411     0.2280     2.2041
        40  -467.5000   -11.0237    -0.0062    59.5335    59.4901             125.2738               0.0391     0.2176     2.1883
        41  -466.6667     8.2731    -0.0153    59.5323    59.4889             125.2614               0.0356     0.2196     2.1881
        42  -465.8333    25.4203    -0.0227    59.5291    59.4853             125.2520               0.0306     0.2283     2.1982
        43  -465.0000    45.9051    -0.0318    59.5220    59.4778             125.2418               0.0223     0.2410     2.2048
        44  -464.1667    67.2737    -0.0412    59.5114    59.4676             125.2336               0.0130     0.2486     2.1955
        45  -463.3333    79.3368    -0.0436    59.5082    59.4646             125.2323               0.0104     0.2481     2.1926
        46  -462.5000    81.5571    -0.0442    59.5074    59.4637             125.2321               0.0096     0.2474     2.1928
